iter	Passed	Remaining
0	13	7294
1	26	6840
2	33	5720
3	45	5948
4	55	5730
5	63	5481
6	73	5435
7	83	5381
8	91	5246
9	101	5193
10	109	5100
11	119	5089
12	128	5029
13	137	5012
14	145	4915
15	156	4953
16	164	4907
17	174	4883
18	183	4864
19	192	4837
20	200	4791
21	210	4796
22	219	4771
23	229	4781
24	238	4741
25	248	4745
26	256	4715
27	264	4684
28	273	4667
29	283	4660
30	293	4650
31	303	4652
32	311	4625
33	320	4602
34	328	4583
35	338	4573
36	346	4553
37	355	4541
38	365	4536
39	373	4513
40	383	4503
41	391	4486
42	400	4471
43	408	4448
44	417	4437
45	426	4419
46	436	4418
47	447	4424
48	455	4404
49	464	4392
50	474	4392
51	483	4375
52	492	4368
53	501	4352
54	510	4344
55	518	4325
56	526	4307
57	534	4289
58	543	4273
59	551	4257
60	561	4249
61	572	4253
62	579	4232
63	587	4216
64	596	4203
65	605	4189
66	614	4180
67	623	4170
68	633	4167
69	640	4147
70	648	4130
71	656	4111
72	665	4104
73	673	4087
74	681	4071
75	689	4053
76	699	4049
77	707	4035
78	716	4027
79	724	4013
80	734	4007
81	743	3996
82	753	3994
83	762	3986
84	769	3967
85	779	3962
86	787	3948
87	797	3941
88	805	3927
89	814	3918
90	823	3910
91	834	3907
92	843	3900
93	852	3890
94	860	3876
95	869	3868
96	877	3855
97	887	3847
98	896	3838
99	905	3831
100	914	3820
101	924	3814
102	931	3798
103	941	3792
104	949	3780
105	959	3772
106	967	3761
107	977	3754
108	984	3739
109	1025	3848
110	1049	3896
111	1073	3939
112	1094	3969
113	1114	3998
114	1129	4005
115	1137	3990
116	1149	3988
117	1165	4000
118	1175	3989
119	1183	3975
120	1192	3963
121	1201	3948
122	1209	3934
123	1219	3923
124	1228	3909
125	1236	3896
126	1245	3882
127	1253	3869
128	1262	3856
129	1271	3844
130	1281	3834
131	1289	3819
132	1298	3806
133	1305	3790
134	1315	3782
135	1323	3766
136	1333	3757
137	1341	3743
138	1351	3732
139	1360	3722
140	1372	3717
141	1381	3707
142	1390	3695
143	1397	3679
144	1406	3667
145	1415	3656
146	1426	3648
147	1433	3632
148	1442	3620
149	1451	3609
150	1461	3599
151	1468	3584
152	1478	3574
153	1485	3560
154	1496	3552
155	1504	3539
156	1514	3530
157	1521	3515
158	1531	3505
159	1540	3494
160	1549	3484
161	1557	3471
162	1567	3461
163	1577	3453
164	1587	3445
165	1595	3431
166	1605	3422
167	1614	3412
168	1625	3405
169	1634	3394
170	1644	3385
171	1652	3373
172	1662	3363
173	1670	3350
174	1679	3340
175	1687	3327
176	1695	3314
177	1702	3300
178	1711	3289
179	1721	3280
180	1729	3267
181	1736	3253
182	1744	3240
183	1752	3228
184	1760	3216
185	1769	3206
186	1777	3193
187	1787	3185
188	1796	3174
189	1806	3166
190	1816	3156
191	1825	3147
192	1834	3136
193	1843	3127
194	1852	3116
195	1862	3108
196	1871	3097
197	1900	3119
198	1909	3109
199	1921	3103
200	1928	3088
201	1937	3079
202	1946	3068
203	1956	3058
204	1964	3047
205	1975	3039
206	1984	3029
207	1992	3017
208	2001	3007
209	2010	2996
210	2018	2985
211	2028	2975
212	2037	2965
213	2046	2955
214	2056	2945
215	2068	2939
216	2076	2928
217	2086	2919
218	2097	2911
219	2107	2903
220	2115	2891
221	2124	2880
222	2133	2870
223	2141	2858
224	2151	2850
225	2162	2841
226	2172	2833
227	2181	2822
228	2190	2812
229	2200	2802
230	2209	2793
231	2218	2782
232	2227	2772
233	2236	2762
234	2245	2752
235	2255	2742
236	2265	2733
237	2273	2722
238	2282	2712
239	2292	2703
240	2303	2695
241	2311	2683
242	2321	2675
243	2330	2664
244	2338	2653
245	2346	2642
246	2356	2633
247	2364	2622
248	2372	2611
249	2380	2599
250	2389	2589
251	2398	2579
252	2408	2570
253	2417	2560
254	2427	2551
255	2437	2542
256	2447	2533
257	2457	2524
258	2466	2514
259	2475	2504
260	2485	2495
261	2494	2485
262	2504	2475
263	2513	2466
264	2524	2457
265	2534	2449
266	2545	2440
267	2555	2431
268	2566	2423
269	2577	2415
270	2586	2405
271	2596	2396
272	2606	2386
273	2615	2377
274	2623	2366
275	2634	2357
276	2643	2347
277	2652	2337
